formula
Cr2 O11 Te4
Co0.93 Mn1.07 O4 Si1
F3 La1
Ce1 F3
H4 Na1 O5 P1
H2 Al2 O9 S1 Te1
H2 Li1 O3 P1
Ba1 S3 Te1
H2 Cu1 K1 O5 P1
H14 O25 P6 Sr3
H6 Ca1 N2 O9
H1 Ca9 Mn1 O28 P7
Li1 Nd1 O12 P4
Cr0.3333 I2 Mn0.6666
Cu1 N6 O12 Pb1 Tl2
C2 H8 Co1 K2 O10
H6 Ca3 O10 Si2
C1 H4 Na4 O9 P2
H14 As1 Na3 O10 S1
Co1.04 La2 Sn4
Cl1 Na1 O2
H14 Cl2 N4 O1 Pd1
Cl5 Cs3 Mn1
Ag8 Ge1 Te6
H16 Na2 O11 Si1
As6 Ca5 Ga2
H12 I6 O24 Pb1 Zn1
Nb2 O5
Fe3 O7 Yb2
Cl10 Cs3 O1 Re2
H4 B7 Ba3 Na1 O20 Si2
O4 Pb1 W1
As1.808 B12.192
H7 F4 In1 N2 O1
C8 I2 Mo2 O8
H4 F8 Fe3 O2
H4 F8 Fe3 O2
H4 F5 Fe2 O2
H4 F5 Fe2 O2
H1 F7 K3 O2 Ta1
H6 F1 Na1 O6 Te1
Cl5 N3 O1 P2 S1
Ge1 S2
Bi3 Fe1 Mo2 O12
Ba0.5 Mn1 O2.84 Sr0.5
Ba0.1 Mn1 O2.96 Sr0.9
Ba1 Fe1 O2.73
I2 S0.993 Sn2.0067
I2 S1 Sn2
H10 Be1 Cu1 F4 O5
C3 H1 Au1.5 I3 K1.5 N3 O0.5
B50 V1.54
H0.6 F2.66 Fe1 O0.47
H42 Mo18 Na4 O82 P2
H42 N6 O71 P2 W18
Li2 O4 S1
Ga1 S1
H15 B3 Mg1 O13
K1 O4 Tc1
K1 O4 Re1
O4 Os1
Mo3 Ni0.7 S4
H6 Na1 O6 P1
H6 Na1 O6 P1
Mo3 Pb0.46 S4
Mo3 Pb0.5 Se4
Co0.75 Mo3 S3.75
Fe0.66 Mo3 S4
Fe3 Sn2
Be2 F7 Li2 Rb1
Mo1 O7 Te2
Fe3 Ge6 Mn4
K3 O9 P3
Bi3 Y5
H9 As1 Mg1 O8
I4 Te1
La4 O10 Re2
H4 Ca1 N2 O8
P1.7455 V1
Fe6.32 Mn1 O38 Pb0.83 Ti13.68
C2 H6 Co1 N2 O3 S2
K2 O10 W3
H28 Cd3 O32 P6
H28 Cd3 O32 P6
Ge4 O9 Rb2
Ge3 O9 Rb2 Ti1
H15 Mo12 O46 P1
H3 N1 O3 S1
H42 Na10 O62 W12
Nb1 O2
Fe1 S3 U1
H28 Ge1 Na4 O14 Se4
C3 Hg1 N3 Rb1 S3
C3 Cs1 Hg1 N3 S3
H12 Cu1 N2 O6 Sn1
Ga2 Na8 O7
Cl2 Te3
Br1 Te2
I1 Te2
I1 Te1
I1 Te1
C18 Br2 Mn4 O18 Sn2
Cs7 O1
Cs7 O1
Mg1 P4
Gd1 P5
Ba3 Cl2 Cu2 O4
Br1 Cl1 Cs2 F4 Os1
H18 Cl5 Co1 N6 Sn1
C1 Cl4 N1 O1 Sb1
H3.5 Br1 Cu0.25 N1
H3.333 Cl0.9999 Cu0.3333 N0.9999
H3.5 Cl1 Cu0.25 N1
H2 Cl5 In1 K2 O1
H12 N3 O15 Pr1
C1 Cu1 N1 S1
F6 K2 O3 Ta2
H4 Er3 F10 N1
H16 O20 S3 Sm2
B4 Er2 O12 Sr3
Cd5 Cl1 O12 P3
H2 B8 Ca2 O15
H2 F6 K2 O1 Sn1
H6 Ca1 O9 P2
Ga40.392 Mo7.396
Co1 F1 Li1 Na1 O4 P1
H2 Ba1 O4 S2
H8 Al8.02 Fe6 Li7.28 Mg6.96 Na0.08 O96 Si31.42
Pb3 S15 Sb8
C2 N2 Pb1 S2
I1 O7 Sb5
C1 Ca1 O3
F6 Mo1
Ca2 Sb1
K4 O4 Sn1
C1.33 Mn7.53 Si1.8
Ga2 O8 Si2 Sr1
Ba1 Ga2 O8 Si2
