formula,target
B0.2 Fe0.71 Y0.02 Nb0.04 Hf0.03 ,78.0
Mg0.13 Ca0.6 Cu0.27 ,32.0
Mg0.65 Ni0.05 Cu0.2 Gd0.1 ,61.0
B0.19200000000000006 Si0.048000000000000015 Fe0.6912 Nb0.04 Tb0.0288 ,80.0
B0.19993816345460166 Si0.03998763269092034 Fe0.7197773884365658 Y0.0003091827269916521 Nb0.03998763269092034 ,56.0
B0.19991670137442727 Si0.03998334027488547 Fe0.7197001249479383 Y0.0004164931278633903 Nb0.03998334027488547 ,28.0
B0.1999591920016323 Si0.03999183840032646 Fe0.7198530912058764 Y0.00020403999183840035 Nb0.03999183840032646 ,48.0
B0.1999798000202 Si0.03999596000404 Fe0.7199272800727199 Y0.000100999899000101 Nb0.03999596000404 ,26.0
B0.2 Fe0.72 Y0.01 Nb0.04 Hf0.03 ,56.5
Mg0.1 Ca0.65 Cu0.25 ,32.0
Mg0.65 Cu0.25 Gd0.1 ,60.75
B0.19200000000000006 Si0.048000000000000015 Fe0.7008 Nb0.04 Tb0.0192 ,70.0
B0.2 Fe0.73 Nb0.04 Hf0.03 ,63.0
Mg0.273 Ca0.318 Cu0.409 ,39.0
Mg0.15 Ca0.55 Cu0.3 ,40.0
B0.1920000000000001 Si0.04800000000000002 Fe0.7104 Nb0.040000000000000015 Tb0.0096 ,46.0
Mg0.65 Cu0.25 Tb0.1 ,73.0
Mg0.318 Ca0.227 Cu0.455 ,21.0
Mg0.65 Cu0.15 Y0.04 Ag0.1 Gd0.06 ,43.0
B0.19200000000000006 Si0.048000000000000015 Fe0.72 Nb0.04 ,45.0
Mg0.7 Ni0.15 Nd0.15 ,22.0
Mg0.25 Ca0.35 Cu0.4 ,43.0
Mg0.19 Ca0.47 Cu0.27 Zn0.07 ,47.0
Mg0.57 Cu0.31 Y0.066 Nd0.054000000000000006 ,64.0
B0.147 Si0.098 Fe0.735 Nb0.02 ,58.0
B0.14400000000000002 Si0.09600000000000003 Fe0.72 Nb0.04 ,50.0
Mg0.65 Cu0.25 Dy0.1 ,70.0
B0.1485 Si0.099 Fe0.7425 Nb0.01 ,47.5
B0.192 Si0.048 Fe0.648 Co0.07200000000000001 Nb0.04 ,45.0
Be0.18 Ti0.55 Ni0.08 Cu0.09 Zr0.1 ,38.0
Mg0.615 Cu0.295 Gd0.09 ,39.0
Mg0.1 Ca0.65 Zn0.25 ,35.0
Mg0.69 Ni0.15 Ag0.06 Gd0.1 ,35.3
Be0.2 Mg0.24 Ti0.1 Ni0.08 Cu0.08 Y0.04 Zr0.26 ,50.0
B0.25 Fe0.5605 Co0.13449999999999998 Nb0.055 ,58.0
Mg0.19 Ca0.45 Cu0.36 ,29.0
B0.192 Si0.048 Fe0.5760000000000001 Co0.14400000000000002 Nb0.04 ,50.0
Mg0.65 Cu0.25 Ho0.1 ,56.0
Mg0.63 Cu0.27 Gd0.1 ,63.0
Mg0.15 Ca0.55 Zn0.3 ,32.0
B0.1920000000000001 Si0.04800000000000002 Fe0.504 Co0.21600000000000003 Nb0.040000000000000015 ,50.0
Mg0.65 Cu0.25 Er0.1 ,58.0
B0.24 Fe0.568 Co0.142 Nb0.05 ,45.0
B0.067 C0.069 Al0.021 Si0.025 P0.08800000000000001 Cr0.022 Fe0.6829999999999999 Mo0.025 ,40.0
Mg0.227 Ca0.364 Cu0.409 ,35.0
Mg0.645 Cu0.245 Gd0.11 ,59.0
B0.19200000000000006 Si0.048000000000000015 Fe0.432 Co0.28800000000000003 Nb0.04 ,50.0
B0.19008000000000005 Si0.047520000000000014 Cr0.010000000000000002 Fe0.42768 Co0.2851200000000001 Nb0.0396 ,44.0
B0.18624000000000002 Si0.046560000000000004 Cr0.03 Fe0.41904 Co0.27936000000000005 Nb0.0388 ,43.0
B0.192 Si0.048 Fe0.432 Co0.28800000000000003 Nb0.04 ,44.0
B0.18432 Si0.04608 Cr0.04 Fe0.4147199999999999 Co0.27648 Nb0.03839999999999999 ,41.0
B0.18816 Si0.047040000000000005 Cr0.020000000000000004 Fe0.42336 Co0.2822400000000001 Nb0.039200000000000006 ,43.0
Mg0.273 Ca0.272 Cu0.455 ,15.0
Mg0.65 Ni0.2 La0.15 ,29.0
B0.192 Si0.048 Fe0.36 Co0.36 Nb0.04 ,39.0
B0.19200000000000006 Si0.048000000000000015 Fe0.36 Co0.36 Nb0.04 ,50.0
B0.22 Fe0.72 Y0.05 W0.01 ,74.0
B0.22 Fe0.68 Co0.04 Y0.06 ,40.0
B0.24 Fe0.5579999999999999 Co0.142 Nb0.06 ,47.0
B0.22 Fe0.69 Ni0.03 Y0.06 ,50.0
Mg0.68 Ni0.15 Ag0.07 Gd0.1 ,35.5
Mg0.15 Ca0.5 Cu0.25 Zn0.1 ,39.0
Mg0.25 Ca0.3 Cu0.45 ,43.0
B0.055 C0.05 P0.12 Cr0.04 Fe0.655 Ga0.04 Mo0.04 ,61.0
B0.19200000000000006 Si0.048000000000000015 Fe0.28800000000000003 Co0.432 Nb0.04 ,42.0
B0.23 Fe0.71 Nb0.06 ,46.0
B0.22 Fe0.7 Co0.02 Y0.06 ,54.0
B0.22 Fe0.71 Ni0.01 Y0.06 ,58.0
Mg0.61 Cu0.29 Gd0.1 ,60.0
B0.1920000000000001 Si0.04800000000000002 Fe0.21600000000000003 Co0.504 Nb0.040000000000000015 ,40.0
B0.22 Fe0.72 Y0.06 ,59.33333333333334
Mg0.1 Ca0.6 Zn0.3 ,20.0
B0.192 Si0.048 Fe0.14400000000000002 Co0.5760000000000001 Nb0.04 ,40.0
B0.22 Fe0.66 Co0.06 Y0.06 ,38.0
Mg0.182 Ca0.409 Cu0.409 ,38.0
Mg0.625 Cu0.265 Gd0.11 ,56.0
B0.22 Fe0.64 Co0.08 Y0.06 ,43.0
B0.22 Fe0.67 Ni0.05 Y0.06 ,25.0
B0.22 Fe0.62 Co0.1 Y0.06 ,47.0
B0.1 Si0.09 P0.05 Fe0.76 ,52.0
Mg0.227 Ca0.318 Cu0.455 ,39.0
B0.22 Fe0.6 Co0.12 Y0.06 ,43.0
B0.192 Si0.048 Fe0.07200000000000001 Co0.648 Nb0.04 ,40.0
Mg0.11 Ca0.55 Cu0.23 Zn0.11 ,51.0
Mg0.05 Ca0.65 Cu0.3 ,21.0
B0.22 Fe0.58 Co0.14 Y0.06 ,45.0
B0.22 Fe0.56 Co0.16 Y0.06 ,45.0
B0.05 C0.07 Si0.033 P0.087 Fe0.72 Ga0.04 ,19.0
Mg0.65 Ni0.075 Cu0.075 Zn0.05 Ag0.05 Gd0.1 ,37.0
Mg0.1 Ca0.55 Cu0.35 ,25.0
B0.315 Fe0.2 Co0.43 Ta0.055 ,72.0
Mg0.65 Ni0.2 Nd0.15 ,42.03333333333333
B0.05 C0.07 Si0.033 P0.087 Fe0.74 Ga0.02 ,16.0
Mg0.65 Cu0.15 Y0.02 Ag0.1 Gd0.08 ,44.0
B0.02 C0.1 P0.12 Fe0.71 Nb0.01 Mo0.04 ,42.0
B0.05 C0.07 Si0.033 P0.087 Fe0.75 Ga0.01 ,13.0
Mg0.59 Cu0.31 Gd0.1 ,58.0
B0.05 C0.07 Si0.033 P0.087 Fe0.76 ,16.0
Mg0.61 Cu0.28 Gd0.11 ,61.0
B0.192 Si0.048 Fe0.28800000000000003 Ni0.4319999999999999 Nb0.04 ,50.0
Mg0.605 Cu0.285 Gd0.11 ,60.0
Be0.18 Ti0.5 Ni0.08 Cu0.09 Zr0.15 ,40.0
Mg0.181 Ca0.364 Cu0.455 ,29.0
Mg0.227 Ca0.273 Cu0.5 ,18.0
B0.1920000000000001 Si0.04800000000000002 Fe0.21600000000000003 Ni0.504 Nb0.040000000000000015 ,45.0
Mg0.273 Ca0.182 Cu0.545 ,17.0
Mg0.6 Ni0.236 Y0.01 La0.154 ,37.0
B0.192 Si0.048 Fe0.14400000000000002 Ni0.5760000000000001 Nb0.04 ,40.0
Mg0.6 Ni0.236 Y0.0075 La0.1565 ,39.0
Mg0.585 Cu0.305 Gd0.11 ,63.0
Mg0.1 Ca0.5 Cu0.25 Zn0.15 ,32.0
B0.22 Fe0.67 Y0.06 Mo0.05 ,21.0
Mg0.6 Ni0.236 Y0.005 La0.159 ,36.0
B0.192 Si0.048 Fe0.07200000000000001 Ni0.648 Nb0.04 ,33.0
Mg0.182 Ca0.318 Cu0.5 ,29.0
C0.1398844518385268 Si0.03796863692760013 P0.0008253440105228657 Fe0.8143273446314239 Tm0.00699422259192634 ,65.0
C0.13985998615247666 Si0.03796199624138651 P0.0010000989108812958 Fe0.8141849193876317 Tm0.0069929993076238315 ,50.0
Mg0.6 Ni0.236 Y0.0025 La0.16149999999999998 ,35.0
Mg0.6 Ni0.236 La0.16399999999999998 ,40.0
B0.19200000000000006 Si0.048000000000000015 Ni0.72 Nb0.04 ,25.0
Mg0.65 Cu0.15 Pd0.05 Ag0.05 Gd0.1 ,42.0
B0.17 Fe0.74 Y0.03 Nb0.06 ,48.0
Mg0.65 Cu0.15 Ag0.1 Gd0.1 ,43.0
B0.06 C0.13 Cr0.1 Fe0.6 Mo0.09 Er0.02 ,46.0
Be0.07 Ti0.5 Ni0.15 Cu0.25 Sn0.03 ,45.0
Mg0.182 Ca0.273 Cu0.545 ,22.0
Be0.275 Al0.02 Ti0.3 Cu0.075 Zr0.33 ,144.0
B0.06 C0.15 Cr0.15 Fe0.45 Co0.03 Y0.02 Mo0.14 ,46.0
B0.06 C0.15 Cr0.15 Fe0.48 Mo0.14 Er0.02 ,41.5
B0.005 Al0.07 Si0.03 Sc0.03 Ti0.53 Ni0.185 Cu0.15 ,56.0
Mg0.65 Cu0.15 Ag0.1 Er0.1 ,38.0
B0.06 C0.15 Cr0.15 Fe0.43 Co0.05 Y0.02 Mo0.14 ,37.0
B0.06 C0.15 Cr0.15 Fe0.41 Co0.07 Y0.02 Mo0.14 ,37.0
