H
Li
Na
K
Rb
Cs
Fr
Be
Mg
Ca
Sr
Ba
Ra
Sc
Y
La
Ac
Ti
Zr
Hf
Rf
V
Nb
Ta
Db
Cr
Mo
W
Sg
Mn
Tc
Re
Bh
Fe
Ru
Os
Hs
Co
Rh
Ir
Mt
Ni
Pd
Pt
Ds 
Cu
Ag
Au
Rg 
Zn
Cd
Hg
Cn 
B
Al
Ga
In
Tl
Nh
C
Si
Ge
Sn
Pb
Fl
N
P
As
Sb
Bi
Mc
O
S
Se
Te
Po
Lv
F
Cl
Br
I
At
Ts
He
Ne
Ar
Kr
Xe
Rn
Og
Ce
Pr
Nd
Pm
Sm
Eu
Gd
Tb
Dy
Ho
Er
Tm
Yb
Lu
Th
Pa
U
Np
Pu
Am
Cm
Bk
Cf
Es
Fm
Md
No
Lr
